Number,Subprefecture
26, Aricanduva/Vila Formosa
10, Butantã
17, Campo Limpo
19, Capela do Socorro
04, Casa Verde/Cachoeirinha
16, Cidade Ademar
31, Cidade Tiradentes
22, Ermelino Matarazzo
03, Freguesia do Ó/Brasilândia
28, Guaianases
13, Ipiranga
24, Itaim Paulista
27, Itaquera
15, Jabaquara
08, Lapa
18, M'Boi Mirim
25, Mooca
20, Parelheiros
21, Penha
01, Perus
11, Pinheiros
02, Pirituba/Jaraguá
09, Sé
05, Santana/Tucuruvi
06, Jaçanã/Tremembé
14, Santo Amaro
30, São Mateus
23, São Miguel Paulista
32, Sapopemba
07, Vila Maria/Vila Guilherme
12, Vila Mariana
29, Vila Prudente
