RP,Cod_RP,NAME,MS_FB_PARE,MS_FB,WIKIDATA,NAME_PT
Centro,1.1,Superintendência do Centro,country:br/fed:rj/mun:rio-de-janeiro,country:br/fed:rj/mun:rio-de-janeiro/regional-superintendency:centro,Q56654088,superintendência do Centro
Campo Grande,5.2,Superintendência de Campo Grande,country:br/fed:rj/mun:rio-de-janeiro,country:br/fed:rj/mun:rio-de-janeiro/regional-superintendency:campo-grande,Q56654090,superintendência de Campo Grande
Jacarepaguá,4.1,Superintendência de Jacarepaguá,country:br/fed:rj/mun:rio-de-janeiro,country:br/fed:rj/mun:rio-de-janeiro/regional-superintendency:jacarepagua,Q56654092,superintendência de Jacarepaguá
Tijuca,2.2,Superintendência da Tijuca,country:br/fed:rj/mun:rio-de-janeiro,country:br/fed:rj/mun:rio-de-janeiro/regional-superintendency:tijuca,Q56654095,superintendência da Tijuca
Pavuna,3.6,Superintendência da Pavuna,country:br/fed:rj/mun:rio-de-janeiro,country:br/fed:rj/mun:rio-de-janeiro/regional-superintendency:pavuna,Q56654097,superintendência da Pavuna
Ramos,3.1,Superintendência de Ramos,country:br/fed:rj/mun:rio-de-janeiro,country:br/fed:rj/mun:rio-de-janeiro/regional-superintendency:ramos,Q56654099,superintendência de Ramos
Inhaúma,3.4,Superintendência de Inhaúma,country:br/fed:rj/mun:rio-de-janeiro,country:br/fed:rj/mun:rio-de-janeiro/regional-superintendency:inhauma,Q56654101,superintendência de Inhaúma
Méier,3.2,Superintendência do Méier,country:br/fed:rj/mun:rio-de-janeiro,country:br/fed:rj/mun:rio-de-janeiro/regional-superintendency:meier,Q56654103,superintendência do Méier
Guaratiba,5.4,Superintendência de Guaratiba,country:br/fed:rj/mun:rio-de-janeiro,country:br/fed:rj/mun:rio-de-janeiro/regional-superintendency:guaratiba,Q56654105,superintendência de Guaratiba
Ilha do Governador,3.7,Superintendência da Ilha do Governador,country:br/fed:rj/mun:rio-de-janeiro,country:br/fed:rj/mun:rio-de-janeiro/regional-superintendency:ilha-do-governador,Q56654107,superintendência da Ilha do Governador
Zona Sul,2.1,Superintendência da Zona Sul,country:br/fed:rj/mun:rio-de-janeiro,country:br/fed:rj/mun:rio-de-janeiro/regional-superintendency:zona-sul,Q56654109,superintendência da Zona Sul
Santa Cruz,5.3,Superintendência de Santa Cruz,country:br/fed:rj/mun:rio-de-janeiro,country:br/fed:rj/mun:rio-de-janeiro/regional-superintendency:santa-cruz,Q56654111,superintendência de Santa Cruz
Penha,3.5,Superintendência de Irajá,country:br/fed:rj/mun:rio-de-janeiro,country:br/fed:rj/mun:rio-de-janeiro/regional-superintendency:iraja,Q56654113,superintendência de Irajá
Madureira,3.3,Superintendência de Madureira,country:br/fed:rj/mun:rio-de-janeiro,country:br/fed:rj/mun:rio-de-janeiro/regional-superintendency:madureira,Q56654115,superintendência de Madureira
Bangu,5.1,Superintendência de Bangu,country:br/fed:rj/mun:rio-de-janeiro,country:br/fed:rj/mun:rio-de-janeiro/regional-superintendency:bangu,Q56654117,superintendência de Bangu
Barra da Tijuca,4.2,Superintendência do Recreio e Vargens,country:br/fed:rj/mun:rio-de-janeiro,country:br/fed:rj/mun:rio-de-janeiro/regional-superintendency:recreio-e-vargens,Q56654119,superintendência do Recreio e Vargens
Barra da Tijuca,4.2,Superintendência da Barra da Tijuca,country:br/fed:rj/mun:rio-de-janeiro,country:br/fed:rj/mun:rio-de-janeiro/regional-superintendency:barra-da-tijuca,Q56654121,superintendência da Barra da Tijuca
