COD_SUB,NAME,WIKIDATA,MS_FB_PARE,MS_FB
01,Subprefecture of  Perus,Q4305958,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:perus
02,Subprefecture of  Pirituba,Q4274227,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:pirituba---jaragua
03,Subprefecture of  Freguesia do Ó,Q4445056,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:freguesia-do-o---brasilandia
04,Subprefecture of  Casa Verde,Q6372512,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:casa-verde---cachoeirinha
05,Subprefecture of  Santana-Tucuruvi,Q986015,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:santana---tucuruvi
06,Subprefecture of  Jaçanã/Tremembé,Q4274232,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:jacana---tremembe
07,Subprefecture of  Vila Maria,Q4409861,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:vila-maria---vila-guilherme
08,Subprefecture of  Lapa,Q4262119,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:lapa
09,Subprefecture of  Sé,Q4262088,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:se
10,Subprefecture of  Butantã,Q4352005,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:butanta
11,Subprefecture of  Pinheiros,Q4274237,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:pinheiros
12,Subprefecture of  Vila Mariana,Q4409869,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:vila-mariana
13,Subprefecture of  Ipiranga,Q4262135,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:ipiranga
14,Subprefecture of  Santo Amaro,Q2223621,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:santo-amaro
15,Subprefecture of  Jabaquara,Q4262104,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:jabaquara
16,Subprefecture of  Cidade Ademar,Q4675493,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:cidade-ademar
17,Subprefecture of  Campo Limpo,Q4502363,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:campo-limpo
18,Subprefecture of  M'Boi Mirim,Q4262126,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:m'boi-mirim
19,Subprefecture of  Capela do Socorro,Q4502358,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:capela-do-socorro
20,Subprefecture of  Parelheiros,Q4445053,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:parelheiros
21,Subprefecture of  Penha,Q4306002,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:penha
22,Subprefecture of  Ermelino Matarazzo,Q4555498,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:ermelino-matarazzo
23,Subprefecture of  São Miguel Paulista,Q4445054,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:sao-miguel-paulista
24,Subprefecture of  Itaim Paulista/Vila Curuçá,Q4262095,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:itaim-paulista
25,Subprefecture of  Mooca,Q4262100,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:mooca
26,Subprefecture of  Aricanduva/Formosa/Carrão,Q4445052,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:aricanduva---vila-formosa
27,Subprefecture of  Itaquera,Q4261706,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:itaquera
28,Subprefecture of  Guaianases,Q4305949,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:guaianases
29,Subprefecture of  Vila Prudente,Q4409038,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:vila-prudente
30,Subprefecture of  São Mateus,Q4352002,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:sao-mateus
31,Subprefecture of  Cidade Tiradentes,Q4675774,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:cidade-tiradentes
32,Subprefecture of  Sapopemba,Q28680501,country:br/fed:sp/mun:sao-paulo,country:br/fed:sp/mun:sao-paulo/subprefecture:sapopemba
